# Arabic WordNet (AWN)	arb	http://www.globalwordnet.org/AWN/	CC BY SA 3.0
02649830-v	lemma	شَغَلَ
02415831-v	lemma	شَغَلَ نَفْسَه
00100551-v	lemma	شَغَّلَ
02240151-v	lemma	شَغَّلَ
02443849-v	lemma	شَغَّلَ
02261256-v	lemma	شَغَّلَ
01857717-v	lemma	شَغَّلَ
01224744-v	lemma	شَغَّلَ
01510173-v	lemma	شَغَّلَ
01510827-v	lemma	شَغَّلَ
01211699-v	lemma	شَغَّلَ
01510399-v	lemma	شَغَّلَ
02407987-v	lemma	شَغَّلَ
02240319-v	lemma	شَغَّلَ
06697331-n	lemma	شَهَادَة
06697331-n	lemma	شَهَادَة عِلْمِيَّة
13417071-n	lemma	شَهَادَة مِلْكِيَّة أَسْهُم
01014821-v	lemma	شَهِدَ
01015244-v	lemma	شَهِدَ
10296832-n	lemma	شَهِيد
15206296-n	lemma	شَهْر
15209413-n	lemma	شَهْر
15213115-n	lemma	شَهْر التُمور - في ليبيا
15207872-n	lemma	شَهْر قَمَرِيّ
15209413-n	lemma	شَهْر مِيلادِيّ
15209413-n	lemma	شَهْر شَمْسِيّ
15209706-n	lemma	شَهْر غريغوري
07487955-n	lemma	شَهْوَة جِنْسِيَّة
07526182-n	lemma	شَجَاعَة
00841580-v	lemma	شَجَبَ
13989051-n	lemma	شَجَن
13104059-n	lemma	شَجَرَة
13108841-n	lemma	شَجَرَة صَنُوبَريَّة
12334293-n	lemma	شَجَرَة الصَّمْغ 
13108841-n	lemma	شَجَرَة من الصَّنُوبَرِيَّات
12651821-n	lemma	شَجَرَة مُثْمِرَة
12268246-n	lemma	شَجَرَة بَلُّوط
11608250-n	lemma	شَجَرَة صَنَوْبَر   
08102402-n	lemma	شَجَرَة العائِلَة
12405209-n	lemma	شَجَرَةُ البَقّ 
12213635-n	lemma	شَجَرَةُ الفِضَّة
12246232-n	lemma	شَجَرة التُّوت
01797347-v	lemma	شَجِنَ
06709533-n	lemma	شَجْب
02554922-v	lemma	شَجَّعَ
00771341-v	lemma	شَجَّعَ
01818235-v	lemma	شَجَّعَ
00802318-v	lemma	شَجَّعَ
00907147-v	lemma	شَكَى
00892315-v	lemma	شَكَرَ
02546467-v	lemma	شَكَرَ
00892467-v	lemma	شَكَرَ
01659248-v	lemma	شَكََّلَ
01256374-v	lemma	شَكََّلَ بِقَالَب الطَّرْق
01647229-v	lemma	شَكَّلَ
02844714-n	lemma	شَكِيمَة
13863186-n	lemma	شَكل مُسْتَوٍ
00027807-n	lemma	شَكْل
06290637-n	lemma	شَكْل
13862780-n	lemma	شَكْل
04677514-n	lemma	شَكْل
05064037-n	lemma	شَكْل
05839024-n	lemma	شَكْل
05930736-n	lemma	شَكْل
04930478-n	lemma	شَكْل
03335600-n	lemma	شَكْل
04677952-n	lemma	شَكْل
03815278-n	lemma	شَكْل اليَاقَة
13867492-n	lemma	شَكْل عَشْوَائِي
13862282-n	lemma	شَكْل طَبِيعِيّ
13863186-n	lemma	شَكْل ثُنائِيّ البُعْد
13863602-n	lemma	شَكْل فَرْعِيّ
03335600-n	lemma	شَكْل بَشَرِيّ
03335600-n	lemma	شَكْل جِسْمَانِي
06290637-n	lemma	شَكْل كَلِمَة
13865483-n	lemma	شَكْل دَائِرِيّ
13867492-n	lemma	شَكْل غَيْر مُنَظَّم
13914837-n	lemma	شَكْل هَرَمِيّ
13867276-n	lemma	شَكْل مُشَوَّه
13866144-n	lemma	شَكْل مُضَلَّع
13864153-n	lemma	شَكْل مُحَدَّب
13863473-n	lemma	شَكْل مُجَسَّم
13867641-n	lemma	شَكْل مُنْحَنِي
13864965-n	lemma	شَكْل مُقَعَّر
13873361-n	lemma	شَكْل مُسْتَطِيل
13863473-n	lemma	شَكْل ثُلاثِيّ الأبْعَاد
13864763-n	lemma	شَكْل زَاوِيّ
02936410-a	lemma	شَكْلِيّ
14055408-n	lemma	شَكْوى
07208708-n	lemma	شَكْوَى
01182654-n	lemma	شَكْوَى
06561942-n	lemma	شَكْوَى
06729864-n	lemma	شَكْوَى
05698247-n	lemma	شَكّ
00687295-v	lemma	شَكَّ
00142191-v	lemma	شَكَّلَ
02621395-v	lemma	شَكَّلَ
01668603-v	lemma	شَكَّلَ
01675245-v	lemma	شَكَّلَ
01697027-v	lemma	شَكَّلَ
02621244-v	lemma	شَكَّلَ
00701040-v	lemma	شَكَّلَ
02448185-v	lemma	شَكَّلَ
00436404-v	lemma	شَكَّلَ
02664575-v	lemma	شَكَّلَ أَسَاس
01256374-v	lemma	شَكَّلَ بِالتَّطْرِيق
00091647-v	lemma	شَلَّ
01207149-v	lemma	شَلَّ حَرَكَة
00244043-r	lemma	شَمَالاً
13831176-n	lemma	شَمَال
13831441-n	lemma	شَمَال
13831441-n	lemma	شَمَال مَغْنَاطِيْسِي
01605753-a	lemma	شَمَالِي
01600333-a	lemma	شَمَالِيّ
02636132-v	lemma	شَمَلَ
02632940-v	lemma	شَمِلَ
02636132-v	lemma	شَمِلَ
02629535-v	lemma	شَمِلَ
15094294-n	lemma	شَمْع 
13641534-n	lemma	شَمْعَة-قَدَم
13641534-n	lemma	شَمْعَة
15094824-n	lemma	شَمْعُ العَسَل
01014066-n	lemma	شَمْل
09450163-n	lemma	شَمْس
11485367-n	lemma	شَمْس
00882961-n	lemma	شَمّ
00883139-n	lemma	شَمّ
05713737-n	lemma	شَمّ
02125223-v	lemma	شَمَّ
02124748-v	lemma	شَمَّ
02770629-a	lemma	شَمَّيّ
00746033-n	lemma	شَنَاعَة
00424767-n	lemma	شَنَاعَة
14439447-n	lemma	شَنَار
02485451-v	lemma	شَنَقَ
01649124-v	lemma	شَنَّ
02376089-v	lemma	شَنَّ
01093172-v	lemma	شَنَّ حَرْبَا
01093465-v	lemma	شَنَّ حَرْبَا
00862683-v	lemma	شَنَّ هُجُومَاً
09876454-n	lemma	شَقِيق
10595164-n	lemma	شَقِيق
10602985-n	lemma	شَقِيقَة
10084181-n	lemma	شَقِيقَة
10595164-n	lemma	شَقِيقَة
09831962-n	lemma	شَقِيّ
07379409-n	lemma	شَقْشَقَة
00387657-n	lemma	شَقّ
04243370-n	lemma	شَقّ
04241940-n	lemma	شَقّ
01555742-v	lemma	شَقَّ
02726305-n	lemma	شَقَّة
07884567-n	lemma	شَرَاب
00843128-n	lemma	شَرَاب
07881800-n	lemma	شَرَاب
07901587-n	lemma	شَرَاب كُحُولِي
07886572-n	lemma	شَرَاب مُخَمَّر
07654438-n	lemma	شَرَائِح مُبَرَّدَة
00348746-v	lemma	شَرَعَ
00345761-v	lemma	شَرَعَ
02439281-v	lemma	شَرَعَ
02466670-v	lemma	شَرَعَ
01650610-v	lemma	شَرَعَ بِـ
01651293-v	lemma	شَرَعَ فِي
00939277-v	lemma	شَرَحَ
02635033-v	lemma	شَرَحَ
00955601-v	lemma	شَرَحَ
01001294-v	lemma	شَرَحَ
00939857-v	lemma	شَرَحَ
02075462-v	lemma	شَرَدَ
01881180-v	lemma	شَرَدَ
14432032-n	lemma	شَرَف
14436875-n	lemma	شَرَف
04814238-n	lemma	شَرَف
04474466-n	lemma	شَرَك
05339047-n	lemma	شَرَيَان شُعَبِي
05353819-n	lemma	شَرَيَان رِئَوِي
01540844-v	lemma	شَرِبَ
01170052-v	lemma	شَرِبَ
01171183-v	lemma	شَرِبَ
01198101-v	lemma	شَرِبَ_السٍّيجَارَة
08058098-n	lemma	شَرِكَة
08059870-n	lemma	شَرِكَة
08057633-n	lemma	شَرِكَة نَقْل
08057633-n	lemma	شَرِكَة نَقْل عُمُومِيَّة
03671473-n	lemma	شَرِكَة نَقْل
08059870-n	lemma	شَرِكَة تِجارِيَّة
07654667-n	lemma	شَرِيحَة
09437241-n	lemma	شَرِيحَة
04339291-n	lemma	شَرِيط
04391569-n	lemma	شَرِيط
09449510-n	lemma	شَرِيط
09452653-n	lemma	شَرِيط
03068181-n	lemma	شَرِيط الرَقَبَة
06613686-n	lemma	شَرِيط سِينمََائِي
06262567-n	lemma	شَرِيط سِينَمائِي
07948314-n	lemma	شَرِيد
10402417-n	lemma	شَرِيك
10640620-n	lemma	شَرِيك حَيَاة
01195584-n	lemma	شَرْعِيَة
04809453-n	lemma	شَرْعِيَّة
04783247-n	lemma	شَرْعِيَّة
04809237-n	lemma	شَرْعِيَّة
05793000-n	lemma	شَرْح
05822746-n	lemma	شَرْط
05892427-n	lemma	شَرْط
04717139-n	lemma	شَرْط
06770875-n	lemma	شَرْط
05892880-n	lemma	شَرْط مُسْبَق
13832355-n	lemma	شَرْق
00823350-a	lemma	شَرْقِيّ
00745637-n	lemma	شَرّ
14563564-n	lemma	شَرّ
00715868-v	lemma	شَرَّعَ
02466670-v	lemma	شَرَّعَ
00643473-v	lemma	شَرَّحَ
00497705-v	lemma	شَرَّبَ
01567275-v	lemma	شَتَلَ
00865387-v	lemma	شَتَمَ
00866314-v	lemma	شَتَمَ
00848420-v	lemma	 شَتَمَ
00865958-v	lemma	شَتَمَ
00845299-v	lemma	شَتَمَ
06715223-n	lemma	شَتْم
07125096-n	lemma	شَتْم
00320536-v	lemma	شَوَى
02157731-v	lemma	شَوَّشَ
00306900-n	lemma	شَوْط
15256915-n	lemma	شَوْط
02790322-n	lemma	شَوْكَة المَسْك
07486628-n	lemma	شَوْق
07487375-n	lemma	شَوْق
00326773-v	lemma	شَوْي
00295563-v	lemma	شَوَّشَ
02527651-v	lemma	شَوَّشَ
00276373-v	lemma	شَوَّشَ
01770501-v	lemma	شَوَّشَ
00520019-v	lemma	شَوَّشَ
01790020-v	lemma	شَوَّشَ
00477941-v	lemma	شَوَّهَ
00090708-v	lemma	شَوَّهَ
00090888-v	lemma	شَوَّهَ
00836705-v	lemma	شَوّهَ
00017031-v	lemma	شَخَرَ
00007846-n	lemma	شَخْص
10289039-n	lemma	شَخْص
10203839-n	lemma	شَخْص
10344443-n	lemma	شَخْص مَشْهُور
10595647-n	lemma	شَخْص مَرِيض
09636106-n	lemma	شَخْص مُلَوَّن
10058777-n	lemma	شَخْص مُجَنَّد
10669991-n	lemma	شَخْص مُساعِد
10042845-n	lemma	شَخْص غَرِيب الأَطْوَار
09909060-n	lemma	شَخْص غَرِيب الأَطْوَار
09909060-n	lemma	شَخْص غَيْر طَبِيعِي
10200781-n	lemma	شَخْص هَام
00007846-n	lemma	شَخْص مَا
09831962-n	lemma	شَخْص سَيّء
01615925-a	lemma	شَخْصِي
04617562-n	lemma	شَخْصِيَّة
04620216-n	lemma	شَخْصِيَّة
10344443-n	lemma	شَخْصِيَّة
04618781-n	lemma	شَخْصِيَّة
04677716-n	lemma	شَخْصِيَّة
05929008-n	lemma	شَخْصِيَّة
10344443-n	lemma	شَخْصِيَّة بَارِزَة
04677716-n	lemma	شَخْصِيَّة مَظْهَرِيَّة
05929670-n	lemma	شَخْصِيَّة رَئِيسِيَّة
10200781-n	lemma	شَخْصِيَّة بَارِزَة
04424418-n	lemma	شَيء
00002452-n	lemma	شَيء
07480356-n	lemma	شَيء
00034479-n	lemma	شَيء
04424218-n	lemma	شَيء
05671325-n	lemma	شَيء
03364340-n	lemma	شَيء عَائِم
04010927-n	lemma	شَيء نَاتِئ مُسْتَدَقّ الطَّرَف
05154517-n	lemma	شَيء نَافِع
00002684-n	lemma	شَيْء
14580897-n	lemma	شَيْء
00019128-n	lemma	شَيْء طَبِيْعِي
03285912-n	lemma	شَيْء مُسَيَّج
03285912-n	lemma	شَيْء مُطَوَّق
04753455-n	lemma	شَيْء مُؤَكَّد
04783445-n	lemma	شَيْء حَقِيقِي
00021939-n	lemma	شَيْء مَصْنُوع
06723908-n	lemma	شَيْ
07289831-n	lemma	شَيْ
10375506-n	lemma	شَيْخ
10162991-n	lemma	شَيْخ
10578471-n	lemma	شَيْخ
15153787-n	lemma	شَيْخُوخَة
09034286-n	lemma	شهباء
15211189-n	lemma	شهر الطير- في ليبيا
15210870-n	lemma	شهر المَرِّيخ - في ليبيا
15211806-n	lemma	شهر الصَيْف - في ليبيا
15210486-n	lemma	شهر الطير - في ليبيا
03185562-n	lemma	شِعار
06806469-n	lemma	شِعَار
05765415-n	lemma	شِعَار
06377442-n	lemma	شِعْر
07187996-n	lemma	شِحادَة
13772468-n	lemma	شِحْنَة
00503237-n	lemma	شِطْرَنْج
08760856-n	lemma	شِبْه جَزِيرَة إسْكَانْدِنَافيا
13984285-n	lemma	شِبْه ظُلْمَة
06316048-n	lemma	شِبْه جُمْلَة
06317247-n	lemma	شِبْه جُمْلَة جار و مَجْرُور
14712692-n	lemma	شِبْهُ قَلْوِيّ
01322343-n	lemma	شِبْل
05035353-n	lemma	شِدَّة
07336763-n	lemma	شِدَّة
00965404-n	lemma	شِدَّة
13936939-n	lemma	شِدَّة
14450540-n	lemma	شِدَّة
04710127-n	lemma	شِدَّة
07304852-n	lemma	شِدَّة
05036394-n	lemma	شِدَّة 
06355894-n	lemma	شِفْرَة
06355894-n	lemma	شِفْرَة بَرْنامَج
09353918-n	lemma	شِهَاب
01170962-n	lemma	شِجَار
07184391-n	lemma	شِجَار
06561942-n	lemma	شِكَايَة
06729864-n	lemma	شِكَايَة
08240633-n	lemma	شِلَّة
14621446-n	lemma	شِقّ
04243370-n	lemma	شِقّ
04241940-n	lemma	شِقّ
00079018-n	lemma	شِرَاء
00081572-n	lemma	شِرَاء
04127904-n	lemma	شِرَاع
05333777-n	lemma	شِرْيَان
09831962-n	lemma	شِرِّير
15237782-n	lemma	شِتَاء
08720481-n	lemma	شِيلِي
08912279-n	lemma	شِيرَاز
08368308-n	lemma	شِيُوعِيَّة سُوفْياتِيَّة
09496261-n	lemma	شجاع
12405714-n	lemma	شجر الدَّردار 
12303462-n	lemma	شجرة الدَّردار
12334891-n	lemma	شجرة الكينا 
08774912-n	lemma	شتُوتغَارت
07304852-n	lemma	شُؤْم
14501726-n	lemma	شُذُوذ
02836626-a	lemma	شُعَاعِيّ
05531666-n	lemma	شُعَيْبَة
07700868-n	lemma	شُعَيْريَّة
08102555-n	lemma	شُعْبَة (حَيَوانِيَّة أو نَبَاتِيَّة
08221348-n	lemma	شُعْبَة
08220891-n	lemma	شُعْبَة
01940488-n	lemma	شُعْبَة الرِّخْوِيَّات
03182232-n	lemma	شُعْلَة الإِنْفِجار
00026192-n	lemma	شُعُوْر
07479926-n	lemma	شُعُور
05651971-n	lemma	شُعُور
03008275-n	lemma	شُحْنَة
04700496-n	lemma	شُحُوب
15210486-n	lemma	شُبَاط
04587648-n	lemma	شُبَّاك
04588365-n	lemma	شُبَّاك
00419950-v	lemma	شُدّ
00092690-v	lemma	شُفِيَ
00270561-v	lemma	شُفِيَ
00584367-n	lemma	شُغْل
00575741-n	lemma	شُغْل
00719705-n	lemma	شُغْل
00795720-n	lemma	شُغْل
00582388-n	lemma	شُغْل
03816849-n	lemma	شُغْل الإِبْرَة
05983801-n	lemma	شُغُل شَاغِل
05983801-n	lemma	شُغُل
14437386-n	lemma	شُهْرَة
14438125-n	lemma	شُهْرَة
13112664-n	lemma	شُجَيْرَة
12674120-n	lemma	شُجَيْرَة صَرِيمةُ الجَدْي 
07228971-n	lemma	شُكْر
05698982-n	lemma	شُكُوكِيَّة
00373130-n	lemma	شُمُول
00373130-n	lemma	شُمُولِيَّة
08209687-n	lemma	شُرْطَة
08211290-n	lemma	شُرْطَة عَسْكَرِيَّة
10448983-n	lemma	شُرْطِي
00843128-n	lemma	شُرْب
07881800-n	lemma	شُرْب
02777734-n	lemma	شُرْفَة
02811936-n	lemma	شُرْفَة مُفَرَّجَة
02811936-n	lemma	شُرْفَة حِصْن
05700625-n	lemma	شُرُود
05700625-n	lemma	شُرُود الذِّهْن
